ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
192,494,382880,6212,382880
193,498,383880,6212,383880
193,498,384880,6212,384880
193,498,384880,6212,384880
194,506,392880,6212,392880
194,506,393690,6212,393690
195,510,394690,6212,394690
196,518,402690,6212,402690
197,520,403690,6212,403690
197,520,404240,6212,404240
197,520,404710,6212,404710
197,520,405520,6212,405520
197,520,406520,6212,406520
197,520,406980,6212,406980
198,524,407980,6212,407980
198,524,408980,6212,408980
199,528,409980,6212,409980
199,528,410980,6212,410980
199,528,411790,6212,411790
199,528,411790,6212,411790
200,532,412790,6212,412790
201,540,420790,6212,420790
201,540,421790,6212,421790
201,540,422600,6212,422600
201,540,423150,6212,423150
201,540,423620,6212,423620
201,540,424620,6212,424620
202,544,425620,6212,425620
202,544,426620,6212,426620
202,544,427620,6212,427620
202,544,428620,6212,428620
203,548,429090,6212,429090
203,548,430090,6212,430090
203,548,430410,6212,430410
203,548,431410,6212,431410
204,552,432410,6212,432410
204,552,433410,6212,433410
204,552,434060,6212,434060
205,556,435060,6212,435060
205,556,435870,6212,435870
205,556,436870,6212,436870
205,556,437190,6212,437190
205,556,438190,6212,438190
205,556,438190,6212,438190
206,560,439190,6212,439190
206,560,439190,6212,439190
206,560,440190,6212,440190
206,560,441190,6212,441190
206,560,441510,6212,441510
206,560,442320,6212,442320
207,564,443320,6212,443320
207,564,444320,6212,444320
207,564,444320,6212,444320
207,564,445320,6212,445320
208,568,446320,6212,446320
208,568,447130,6212,447130
208,568,447600,6212,447600
208,568,448250,6212,448250
208,568,449060,6212,449060
208,568,450060,6212,450060
208,568,450060,6212,450060
208,568,450380,6212,450380
208,568,450380,6212,450380
209,572,451190,6212,451190
209,572,452000,6212,452000
209,572,453000,6212,453000
209,572,454000,6212,454000
210,574,454810,6212,454810
210,574,455460,6212,455460
211,576,456270,6212,456270
211,576,456430,6212,456430
211,576,456900,6212,456900
212,578,457710,6212,457710
212,578,458180,6212,458180
212,578,458180,6212,458180
212,578,458650,6212,458650
213,580,459650,6212,459650
213,580,459970,6212,459970
213,580,460970,6212,460970
214,582,461970,6212,461970
214,582,461970,6212,461970
214,582,462970,6212,462970
214,582,463130,6212,463130
214,582,463130,6212,463130
215,584,464130,6212,464130
215,584,464600,6212,464600
215,584,465600,6212,465600
215,584,465600,6212,465600
216,586,466070,6212,466070
216,586,467070,6212,467070
217,588,467880,6212,467880
217,588,468200,6212,468200
217,588,469200,6212,469200
218,590,469850,6212,469850
218,590,470660,6212,470660
219,592,471660,6212,471660
219,592,471660,6212,471660
220,600,479660,6212,479660
220,600,479880,6212,479880
220,600,479880,6212,479880
220,600,480690,6212,480690
221,602,481690,6212,481690
221,602,482690,6212,482690
222,604,483690,6212,483690
222,604,484690,6212,484690
223,606,485690,6212,485690
223,606,486280,6212,486280
224,608,487280,6212,487280
224,608,487930,6212,487930
225,610,488930,6212,488930
225,610,489400,6212,489400
225,610,489400,6212,489400
226,612,490210,6212,490210
226,612,490680,6212,490680
226,612,491150,6212,491150
227,614,491960,6212,491960
227,614,492960,6212,492960
228,616,493960,6212,493960
228,616,494770,6212,494770
229,618,495770,6212,495770
229,618,496140,6212,496140
229,618,497140,6212,497140
230,620,497600,6212,497600
230,620,498600,6212,498600
231,622,499600,6212,499600
231,622,500600,6212,500600
232,624,501600,6212,501600
232,624,502250,6212,502250
233,626,503250,6212,503250
233,626,504250,6212,504250
234,628,505250,6212,505250
234,628,506060,6212,506060
234,628,506280,6212,506280
234,628,506280,6212,506280
235,630,507280,6212,507280
235,630,508280,6212,508280
236,632,509280,6212,509280
236,632,510280,6212,510280
237,634,511280,6212,511280
237,634,511750,6212,511750
237,634,512750,6212,512750
238,636,513210,6212,513210
238,636,514210,6212,514210
239,638,515210,6212,515210
239,638,516210,6212,516210
239,638,516210,6212,516210
240,640,517210,6212,517210
240,640,518210,6212,518210
240,640,518680,6212,518680
241,642,519680,6212,519680
241,642,520680,6212,520680
242,644,521680,6212,521680
242,644,522330,6212,522330
243,646,523330,6212,523330
243,646,523330,6212,523330
243,646,524140,6212,524140
243,646,524490,6212,524490
243,646,524490,6212,524490
243,646,524490,6212,524490
244,648,525490,6212,525490
245,650,527490,6212,527490
245,650,528300,6212,528300
246,652,529300,6212,529300
246,652,529770,6212,529770
247,654,530770,6212,530770
247,654,531420,6212,531420
247,654,531740,6212,531740
248,656,532550,6212,532550
248,656,533360,6212,533360
249,658,534360,6212,534360
