ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
214,468,382180,6212,382180
214,468,382990,6212,382990
214,468,383990,6212,383990
215,470,384990,6212,384990
216,472,385800,6212,385800
216,472,386800,6212,386800
217,474,387800,6212,387800
217,474,388800,6212,388800
218,476,389800,6212,389800
218,476,390800,6212,390800
219,478,391800,6212,391800
220,480,392800,6212,392800
220,480,392800,6212,392800
220,480,393800,6212,393800
220,480,394450,6212,394450
220,480,394770,6212,394770
221,482,395580,6212,395580
221,482,396390,6212,396390
222,484,396710,6212,396710
222,484,397710,6212,397710
222,484,398030,6212,398030
222,484,398840,6212,398840
223,486,399840,6212,399840
224,488,400310,6212,400310
224,488,401310,6212,401310
224,488,401310,6212,401310
225,490,402310,6212,402310
225,490,402310,6212,402310
225,490,403310,6212,403310
226,492,404310,6212,404310
226,492,405310,6212,405310
227,494,406310,6212,406310
227,494,407310,6212,407310
228,496,408310,6212,408310
229,498,409310,6212,409310
229,498,410310,6212,410310
229,498,411310,6212,411310
229,498,411310,6212,411310
229,498,411780,6212,411780
230,500,412780,6212,412780
230,500,413780,6212,413780
231,502,414780,6212,414780
231,502,415010,6212,415010
231,502,415010,6212,415010
231,502,416010,6212,416010
232,504,417010,6212,417010
232,504,418010,6212,418010
232,504,418470,6212,418470
233,506,419470,6212,419470
234,508,420280,6212,420280
234,508,421280,6212,421280
234,508,421510,6212,421510
234,508,421830,6212,421830
235,510,422830,6212,422830
235,510,423830,6212,423830
235,510,424300,6212,424300
236,512,425300,6212,425300
236,512,426300,6212,426300
237,514,427300,6212,427300
237,514,428300,6212,428300
238,516,429300,6212,429300
239,518,430110,6212,430110
239,518,430110,6212,430110
239,518,430580,6212,430580
239,518,430900,6212,430900
239,518,431360,6212,431360
240,526,431360,6212,431360
241,528,432170,6212,432170
241,528,433170,6212,433170
242,530,434170,6212,434170
242,530,434640,6212,434640
242,530,434960,6212,434960
243,532,435960,6212,435960
243,532,435960,6212,435960
244,534,436430,6212,436430
244,534,437430,6212,437430
244,534,437900,6212,437900
244,534,438900,6212,438900
245,536,439900,6212,439900
245,536,439900,6212,439900
245,536,440550,6212,440550
245,536,440550,6212,440550
245,536,441550,6212,441550
246,538,442550,6212,442550
246,538,443550,6212,443550
247,540,444020,6212,444020
247,540,444830,6212,444830
248,542,445830,6212,445830
249,544,446830,6212,446830
250,546,447640,6212,447640
250,546,448110,6212,448110
250,546,449110,6212,449110
251,548,450110,6212,450110
251,548,451110,6212,451110
251,548,451580,6212,451580
252,550,452580,6212,452580
253,552,453050,6212,453050
253,552,454050,6212,454050
253,552,454210,6212,454210
