ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
384,2040,429090,6212,429090
385,2044,430090,6212,430090
386,2052,430410,6212,430410
387,2054,431410,6212,431410
387,2054,432410,6212,432410
388,2062,433410,6212,433410
389,2070,434060,6212,434060
390,2078,435060,6212,435060
391,2080,435870,6212,435870
391,2080,436870,6212,436870
392,2084,437190,6212,437190
392,2084,438190,6212,438190
393,2086,438190,6212,438190
394,2088,439190,6212,439190
395,2096,439190,6212,439190
396,2098,440190,6212,440190
396,2098,441190,6212,441190
397,2100,441510,6212,441510
397,2100,442320,6212,442320
398,2102,443320,6212,443320
399,2104,444320,6212,444320
400,2112,444320,6212,444320
401,2120,445320,6212,445320
402,2122,446320,6212,446320
402,2122,447130,6212,447130
403,2130,447600,6212,447600
404,2132,448250,6212,448250
404,2132,449060,6212,449060
404,2132,450060,6212,450060
405,2134,450060,6212,450060
406,2142,450380,6212,450380
406,2142,450380,6212,450380
407,2150,451190,6212,451190
408,2158,452000,6212,452000
409,2166,453000,6212,453000
410,2174,454000,6212,454000
411,2176,454810,6212,454810
412,2178,455460,6212,455460
412,2178,456270,6212,456270
413,2182,456430,6212,456430
414,2190,456900,6212,456900
415,2192,457710,6212,457710
415,2192,458180,6212,458180
416,2194,458180,6212,458180
416,2194,458650,6212,458650
417,2198,459650,6212,459650
417,2198,459970,6212,459970
418,2206,460970,6212,460970
419,2214,461970,6212,461970
420,2216,461970,6212,461970
421,2224,462970,6212,462970
421,2224,463130,6212,463130
422,2226,463130,6212,463130
422,2226,464130,6212,464130
423,2228,464600,6212,464600
424,2236,465600,6212,465600
425,2238,465600,6212,465600
426,2246,466070,6212,466070
427,2250,467070,6212,467070
427,2250,467880,6212,467880
428,2252,468200,6212,468200
429,2260,469200,6212,469200
430,2268,469850,6212,469850
431,2276,470660,6212,470660
431,2276,471660,6212,471660
432,2284,471660,6212,471660
433,2292,479660,6212,479660
433,2292,479880,6212,479880
433,2292,479880,6212,479880
434,2300,480690,6212,480690
435,2302,481690,6212,481690
436,2310,482690,6212,482690
436,2310,483690,6212,483690
437,2318,484690,6212,484690
438,2320,485690,6212,485690
439,2322,486280,6212,486280
439,2322,487280,6212,487280
440,2330,487930,6212,487930
441,2332,488930,6212,488930
442,2334,489400,6212,489400
443,2338,489400,6212,489400
444,2342,490210,6212,490210
445,2350,490680,6212,490680
445,2350,491150,6212,491150
445,2350,491960,6212,491960
446,2358,492960,6212,492960
446,2358,493960,6212,493960
447,2360,494770,6212,494770
448,2362,495770,6212,495770
449,2364,496140,6212,496140
450,2372,497140,6212,497140
451,2374,497600,6212,497600
451,2374,498600,6212,498600
452,2382,499600,6212,499600
453,2390,500600,6212,500600
454,2392,501600,6212,501600
455,2400,502250,6212,502250
456,2408,503250,6212,503250
457,2410,504250,6212,504250
458,2418,505250,6212,505250
459,2426,506060,6212,506060
460,2430,506280,6212,506280
461,2438,506280,6212,506280
462,2440,507280,6212,507280
462,2440,508280,6212,508280
463,2448,509280,6212,509280
464,2456,510280,6212,510280
465,2464,511280,6212,511280
466,2472,511750,6212,511750
467,2474,512750,6212,512750
468,2482,513210,6212,513210
469,2490,514210,6212,514210
470,2498,515210,6212,515210
471,2506,516210,6212,516210
472,2508,516210,6212,516210
473,2510,517210,6212,517210
474,2514,518210,6212,518210
474,2514,518680,6212,518680
475,2522,519680,6212,519680
476,2524,520680,6212,520680
477,2532,521680,6212,521680
478,2534,522330,6212,522330
479,2536,523330,6212,523330
479,2536,523330,6212,523330
480,2544,524140,6212,524140
480,2544,524490,6212,524490
481,2548,524490,6212,524490
482,2550,524490,6212,524490
482,2550,525490,6212,525490
482,2550,527490,6212,527490
483,2558,528300,6212,528300
484,2560,529300,6212,529300
485,2568,529770,6212,529770
485,2568,530770,6212,530770
486,2570,531420,6212,531420
486,2570,531740,6212,531740
487,2578,532550,6212,532550
488,2586,533360,6212,533360
488,2586,534360,6212,534360
489,2594,535170,6212,535170
490,2602,535170,6212,535170
491,2604,535170,6212,535170
492,2612,539170,6212,539170
492,2612,539760,6212,539760
492,2612,540760,6212,540760
493,2613,541760,6212,541760
494,2615,542760,6212,542760
494,2615,550760,6212,550760
495,2619,551760,6212,551760
496,2627,552760,6212,552760
496,2627,553760,6212,553760
497,2635,561760,6212,561760
498,2643,562760,6212,562760
498,2643,563760,6212,563760
499,2645,564570,6212,564570
500,2653,565570,6212,565570
501,2655,566380,6212,566380
502,2663,567380,6212,567380
503,2671,568380,6212,568380
504,2679,569380,6212,569380
504,2679,570380,6212,570380
504,2679,571380,6212,571380
505,2681,572380,6212,572380
505,2681,573380,6212,573380
505,2681,573850,6212,573850
506,2685,574850,6212,574850
507,2693,575850,6212,575850
508,2695,576850,6212,576850
509,2703,584850,6212,584850
510,2705,585320,6212,585320
511,2713,586320,6212,586320
511,2713,586320,6212,586320
511,2713,586690,6212,586690
512,2715,587500,6212,587500
512,2715,588310,6212,588310
512,2715,589310,6212,589310
513,2717,589770,6212,589770
513,2717,589770,6212,589770
514,2725,590770,6212,590770
515,2727,591770,6212,591770
515,2727,592770,6212,592770
515,2727,593770,6212,593770
516,2729,593770,6212,593770
516,2729,594770,6212,594770
516,2729,595000,6212,595000
517,2737,595000,6212,595000
518,2745,595000,6212,595000
519,2747,595000,6212,595000
520,2755,596000,6212,596000
520,2755,596810,6212,596810
521,2763,597620,6212,597620
521,2763,597620,6212,597620
521,2763,598090,6212,598090
521,2763,598410,6212,598410
522,2771,599410,6212,599410
523,2773,600220,6212,600220
524,2781,601220,6212,601220
525,2789,602220,6212,602220
526,2791,602220,6212,602220
527,2799,603220,6212,603220
528,2807,603770,6212,603770
529,2815,604580,6212,604580
529,2815,605580,6212,605580
530,2823,606580,6212,606580
531,2825,606900,6212,606900
531,2825,607900,6212,607900
531,2825,608130,6212,608130
531,2825,609130,6212,609130
531,2825,609130,6212,609130
531,2825,609130,6212,609130
532,2827,609940,6212,609940
533,2835,610750,6212,610750
534,2837,611750,6212,611750
535,2839,612070,6212,612070
535,2839,613070,6212,613070
535,2839,614070,6212,614070
536,2847,615070,6212,615070
537,2855,616070,6212,616070
538,2857,616880,6212,616880
538,2857,617690,6212,617690
539,2859,618690,6212,618690
539,2859,619690,6212,619690
540,2867,620160,6212,620160
540,2867,620530,6212,620530
540,2867,621340,6212,621340
541,2869,621660,6212,621660
542,2871,622660,6212,622660
542,2871,622660,6212,622660
543,2873,623660,6212,623660
543,2873,624660,6212,624660
543,2873,625660,6212,625660
543,2873,626470,6212,626470
544,2881,627470,6212,627470
545,2889,628470,6212,628470
546,2891,629280,6212,629280
547,2895,629510,6212,629510
548,2903,630510,6212,630510
548,2903,631510,6212,631510
548,2903,632510,6212,632510
548,2903,633510,6212,633510
549,2907,634510,6212,634510
550,2909,634510,6212,634510
551,2917,635510,6212,635510
552,2925,636510,6212,636510
552,2925,636740,6212,636740
552,2925,636740,6212,636740
553,2933,637740,6212,637740
553,2933,638060,6212,638060
554,2941,638060,6212,638060
555,2949,638870,6212,638870
555,2949,639190,6212,639190
555,2949,639510,6212,639510
556,2951,640510,6212,640510
557,2953,641510,6212,641510
557,2953,642060,6212,642060
557,2953,643060,6212,643060
558,2955,643060,6212,643060
559,2963,645060,6212,645060
560,2965,646060,6212,646060
561,2967,646520,6212,646520
562,2975,647520,6212,647520
562,2975,647520,6212,647520
562,2975,647520,6212,647520
562,2975,647520,6212,647520
563,2983,648520,6212,648520
563,2983,648990,6212,648990
563,2983,648990,6212,648990
563,2983,649990,6212,649990
563,2983,649990,6212,649990
564,2991,650990,6212,650990
564,2991,651990,6212,651990
565,2999,652310,6212,652310
566,3001,652780,6212,652780
566,3001,652780,6212,652780
567,3003,653250,6212,653250
567,3003,653720,6212,653720
568,3011,653720,6212,653720
568,3011,654720,6212,654720
568,3011,655720,6212,655720
568,3011,656720,6212,656720
568,3011,656880,6212,656880
569,3019,657880,6212,657880
569,3019,658530,6212,658530
570,3027,659530,6212,659530
571,3029,659690,6212,659690
572,3031,660690,6212,660690
572,3031,661130,6212,661130
572,3031,662130,6212,662130
573,3039,663130,6212,663130
574,3041,663940,6212,663940
575,3049,664940,6212,664940
576,3051,665940,6212,665940
577,3059,666410,6212,666410
577,3059,666730,6212,666730
578,3061,667730,6212,667730
579,3069,668730,6212,668730
579,3069,669730,6212,669730
580,3071,670200,6212,670200
581,3073,671010,6212,671010
582,3075,672010,6212,672010
582,3075,673010,6212,673010
583,3083,674010,6212,674010
584,3085,675010,6212,675010
585,3093,676010,6212,676010
586,3101,676010,6212,676010
587,3109,677010,6212,677010
588,3111,677820,6212,677820
588,3111,678630,6212,678630
589,3113,678950,6212,678950
589,3113,679950,6212,679950
589,3113,680950,6212,680950
590,3121,681950,6212,681950
591,3129,682760,6212,682760
592,3137,683410,6212,683410
592,3137,684060,6212,684060
592,3137,685060,6212,685060
593,3145,686060,6212,686060
594,3149,686870,6212,686870
594,3149,687870,6212,687870
594,3149,687870,6212,687870
595,3151,688870,6212,688870
596,3159,690870,6212,690870
597,3167,698870,6212,698870
597,3167,698870,6212,698870
597,3167,699870,6212,699870
598,3175,700100,6212,700100
599,3176,700420,6212,700420
600,3178,701420,6212,701420
601,3180,702420,6212,702420
601,3180,703420,6212,703420
601,3180,704420,6212,704420
601,3180,704650,6212,704650
602,3182,704650,6212,704650
603,3184,705120,6212,705120
604,3186,706120,6212,706120
604,3186,707120,6212,707120
