ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
887173.26,14.99,1.64,338986.57,5.73
887625.41,15.0,1.65,339774.4,5.74
887328.47,15.0,1.65,339646.25,5.74
887506.87,15.0,1.66,339751.32,5.74
887882.02,15.01,1.66,339832.99,5.74
888180.71,15.01,1.67,339836.32,5.74
888745.45,15.02,1.68,339940.7,5.75
888785.68,15.03,1.68,340020.81,5.75
888905.98,15.03,1.69,340059.14,5.75
888877.8,15.03,1.69,340051.88,5.75
889283.45,15.04,1.7,340075.22,5.75
889283.45,15.04,1.7,339977.55,5.75
889323.68,15.04,1.7,340057.67,5.75
889729.34,15.05,1.71,340081.01,5.75
889701.16,15.05,1.71,340088.54,5.75
889861.69,15.06,1.71,340126.35,5.76
889249.1,15.05,1.71,339400.76,5.74
889547.79,15.06,1.71,339404.09,5.74
889588.03,15.06,1.72,339484.21,5.75
889748.55,15.06,1.72,339522.02,5.75
889720.37,15.07,1.72,339485.36,5.75
889898.77,15.07,1.73,339524.31,5.75
890560.64,15.08,1.74,339609.09,5.75
890532.47,15.09,1.74,339601.83,5.75
890504.29,15.09,1.74,339616.79,5.75
890802.98,15.09,1.75,339620.12,5.75
890654.51,15.09,1.75,339507.01,5.75
890654.51,15.09,1.75,340047.42,5.76
890815.03,15.1,1.76,340085.24,5.76
890786.86,15.1,1.76,340092.77,5.77
890638.39,15.1,1.76,339980.36,5.76
890638.39,15.1,1.76,339882.61,5.76
890610.21,15.1,1.76,339869.23,5.76
890985.36,15.11,1.77,340320.34,5.77
890957.18,15.11,1.77,340327.87,5.77
891014.8,15.11,1.77,340300.05,5.77
891055.03,15.12,1.77,340380.16,5.77
891055.03,15.12,1.77,340298.11,5.77
890906.56,15.12,1.77,340179.15,5.77
890758.09,15.12,1.77,340066.74,5.77
891440.55,15.13,1.79,340235.56,5.77
891292.07,15.13,1.79,340100.48,5.77
891736.53,15.14,1.79,340425.83,5.78
891794.14,15.14,1.79,340365.34,5.78
