ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
412228.94,6.95,1.78,159679.66,2.69
411866.5,6.95,1.78,159344.63,2.69
411913.73,6.95,1.78,159276.05,2.69
411862.0,6.95,1.78,159165.84,2.69
411810.28,6.95,1.78,159262.3,2.69
411450.25,6.95,1.77,158644.82,2.68
411315.21,6.94,1.77,158027.35,2.67
411315.21,6.94,1.77,158027.35,2.67
411482.82,6.95,1.78,158135.28,2.67
412303.96,6.96,1.79,159135.33,2.69
412674.67,6.97,1.8,159159.38,2.69
412674.67,6.97,1.8,159159.38,2.69
412947.08,6.98,1.8,159112.5,2.69
412680.46,6.97,1.8,160253.17,2.71
412706.53,6.97,1.8,160156.02,2.71
413533.14,6.99,1.82,160385.46,2.71
413533.14,6.99,1.82,160385.46,2.71
413481.41,6.99,1.82,160334.9,2.71
413453.43,6.99,1.82,160923.23,2.72
413887.15,7.0,1.82,160980.02,2.72
414159.56,7.0,1.83,160982.52,2.72
414107.83,7.0,1.83,160949.85,2.72
414076.92,7.0,1.83,160822.58,2.72
413648.46,7.0,1.82,159959.22,2.71
413504.13,6.99,1.82,159876.54,2.7
413652.82,7.0,1.83,160454.94,2.71
413777.78,7.0,1.83,160532.54,2.72
413726.05,7.0,1.83,160539.11,2.72
413674.33,7.0,1.83,160518.55,2.72
413732.27,7.0,1.83,160603.38,2.72
414054.74,7.01,1.84,160972.66,2.73
414003.02,7.01,1.84,160971.85,2.73
413951.29,7.01,1.84,160910.23,2.73
414088.12,7.01,1.84,161232.41,2.73
413814.26,7.01,1.84,160939.58,2.73
413762.53,7.01,1.84,160801.77,2.72
413468.4,7.01,1.83,160508.68,2.72
413416.68,7.01,1.83,160491.68,2.72
413553.5,7.01,1.84,160445.96,2.72
413936.09,7.02,1.84,161098.83,2.73
413658.3,7.01,1.84,160858.48,2.73
413511.51,7.01,1.84,160695.96,2.72
413648.33,7.01,1.84,160649.61,2.72
413596.61,7.01,1.84,160649.44,2.72
413967.33,7.02,1.85,160657.07,2.72
413915.6,7.02,1.85,161270.86,2.74
413793.57,7.02,1.85,161112.62,2.73
413793.57,7.02,1.85,161112.62,2.73
413574.61,7.02,1.84,160903.25,2.73
413899.97,7.02,1.85,160840.55,2.73
413848.25,7.02,1.85,160840.54,2.73
413848.25,7.02,1.85,160840.54,2.73
413808.4,7.02,1.85,161330.12,2.74
413933.35,7.03,1.85,161388.28,2.74
414070.18,7.03,1.86,161510.9,2.74
414018.45,7.03,1.86,161453.9,2.74
414155.28,7.03,1.86,161576.52,2.74
414292.11,7.04,1.86,161698.25,2.75
414292.11,7.04,1.86,161693.14,2.75
414428.93,7.04,1.87,161815.76,2.75
414377.21,7.04,1.87,161758.76,2.75
414325.48,7.04,1.87,161755.52,2.75
414005.48,7.04,1.86,161435.52,2.74
413953.76,7.04,1.86,161325.66,2.74
413659.63,7.03,1.86,161035.14,2.74
414030.35,7.04,1.87,161164.32,2.74
413978.62,7.04,1.87,161317.07,2.74
413641.53,7.03,1.86,160997.55,2.74
413589.81,7.03,1.86,160884.45,2.74
413538.09,7.03,1.86,160884.45,2.74
413243.95,7.03,1.86,160588.82,2.73
413380.78,7.03,1.86,160711.44,2.73
413382.23,7.03,1.86,160713.21,2.73
413088.1,7.03,1.86,160417.59,2.73
413224.93,7.03,1.86,160539.32,2.73
413361.75,7.03,1.86,160661.93,2.73
413310.03,7.03,1.86,160612.39,2.73
413258.3,7.04,1.86,160582.9,2.73
413206.58,7.04,1.86,160499.29,2.73
413154.85,7.04,1.86,160469.79,2.73
413103.13,7.04,1.86,160386.18,2.73
413051.41,7.04,1.86,160365.87,2.73
413188.23,7.04,1.87,160451.8,2.73
413136.51,7.04,1.87,160448.56,2.73
413084.78,7.04,1.87,160338.7,2.73
413033.06,7.04,1.87,160230.38,2.73
412981.34,7.04,1.87,160225.6,2.73
412929.61,7.04,1.87,160205.28,2.73
412877.89,7.04,1.87,160112.5,2.73
412746.16,7.04,1.87,160009.18,2.73
413018.57,7.04,1.87,160073.07,2.73
412018.57,7.03,1.86,159073.07,2.71
411966.84,7.03,1.86,159221.37,2.72
411915.12,7.03,1.86,159108.26,2.72
411863.39,7.03,1.86,159108.26,2.72
