ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
189,432,312310,6212,312310
189,432,312780,6212,312780
189,432,313780,6212,313780
190,436,314590,6212,314590
190,436,315590,6212,315590
190,436,316060,6212,316060
190,436,317060,6212,317060
190,436,317280,6212,317280
190,436,317280,6212,317280
190,436,317510,6212,317510
191,440,318100,6212,318100
191,440,319100,6212,319100
191,440,319100,6212,319100
191,440,320100,6212,320100
191,440,320910,6212,320910
192,442,321720,6212,321720
192,442,322720,6212,322720
193,444,323530,6212,323530
193,444,324340,6212,324340
193,444,324340,6212,324340
194,446,325150,6212,325150
194,446,326150,6212,326150
195,448,327150,6212,327150
195,448,327470,6212,327470
195,448,328470,6212,328470
195,448,328790,6212,328790
196,450,329260,6212,329260
196,450,330260,6212,330260
196,450,330630,6212,330630
197,452,331630,6212,331630
197,452,332630,6212,332630
197,452,332950,6212,332950
198,454,333760,6212,333760
198,454,333760,6212,333760
198,454,334080,6212,334080
198,454,334890,6212,334890
199,456,335700,6212,335700
199,456,336700,6212,336700
200,458,337700,6212,337700
200,458,338700,6212,338700
201,460,339700,6212,339700
201,460,340700,6212,340700
202,462,341700,6212,341700
202,462,342510,6212,342510
203,464,343510,6212,343510
203,464,344510,6212,344510
204,466,345510,6212,345510
204,466,346510,6212,346510
205,468,347510,6212,347510
205,468,348510,6212,348510
205,468,348740,6212,348740
206,470,349390,6212,349390
206,470,350390,6212,350390
206,470,351390,6212,351390
207,472,352390,6212,352390
207,472,353390,6212,353390
208,474,354390,6212,354390
208,474,355390,6212,355390
209,476,356390,6212,356390
209,476,356390,6212,356390
209,476,356390,6212,356390
209,476,357390,6212,357390
210,478,357860,6212,357860
210,478,358230,6212,358230
210,478,359230,6212,359230
211,480,360230,6212,360230
211,480,360820,6212,360820
212,482,361630,6212,361630
212,482,362630,6212,362630
213,484,363630,6212,363630
213,484,364100,6212,364100
214,486,365100,6212,365100
214,486,365420,6212,365420
214,486,366420,6212,366420
214,486,366650,6212,366650
215,488,367240,6212,367240
215,488,368050,6212,368050
216,490,369050,6212,369050
216,490,369370,6212,369370
216,490,370370,6212,370370
217,492,371370,6212,371370
217,492,372020,6212,372020
218,494,373020,6212,373020
218,494,373670,6212,373670
219,496,374320,6212,374320
219,496,374790,6212,374790
219,496,375250,6212,375250
219,496,375480,6212,375480
220,498,376290,6212,376290
220,498,377290,6212,377290
220,498,377760,6212,377760
221,500,378230,6212,378230
221,500,379230,6212,379230
222,502,379880,6212,379880
222,502,380880,6212,380880
222,502,381110,6212,381110
223,504,382110,6212,382110
223,504,383110,6212,383110
223,504,383580,6212,383580
224,506,384130,6212,384130
224,506,385130,6212,385130
225,508,386130,6212,386130
225,508,387130,6212,387130
226,510,387600,6212,387600
226,510,388600,6212,388600
226,510,389070,6212,389070
227,512,390070,6212,390070
227,512,391070,6212,391070
228,514,392070,6212,392070
228,514,393070,6212,393070
229,516,393540,6212,393540
229,516,394540,6212,394540
229,516,395000,6212,395000
230,518,395650,6212,395650
230,518,396120,6212,396120
231,520,397120,6212,397120
231,520,398120,6212,398120
231,520,398440,6212,398440
232,522,399250,6212,399250
233,530,407250,6212,407250
233,530,407620,6212,407620
233,530,408620,6212,408620
234,532,409620,6212,409620
234,532,410170,6212,410170
235,534,411170,6212,411170
235,534,411170,6212,411170
235,534,412170,6212,412170
236,536,412640,6212,412640
236,536,413640,6212,413640
237,538,414640,6212,414640
237,538,414960,6212,414960
237,538,415960,6212,415960
238,540,416550,6212,416550
238,540,417020,6212,417020
238,540,417490,6212,417490
239,542,418490,6212,418490
239,542,418960,6212,418960
239,542,419430,6212,419430
240,544,420430,6212,420430
240,544,421430,6212,421430
241,546,422430,6212,422430
241,546,423430,6212,423430
241,546,423750,6212,423750
242,548,424750,6212,424750
242,548,425750,6212,425750
243,550,426750,6212,426750
243,550,426970,6212,426970
243,550,427970,6212,427970
243,550,428200,6212,428200
243,550,428520,6212,428520
244,552,429520,6212,429520
244,552,430520,6212,430520
245,554,431520,6212,431520
245,554,432520,6212,432520
246,556,433520,6212,433520
246,556,433570,6212,433570
246,556,433790,6212,433790
246,556,433790,6212,433790
246,556,434110,6212,434110
246,556,435110,6212,435110
247,558,436110,6212,436110
247,558,436110,6212,436110
247,558,436760,6212,436760
248,560,437230,6212,437230
248,560,438230,6212,438230
249,562,439230,6212,439230
249,562,439230,6212,439230
249,562,439700,6212,439700
249,562,439930,6212,439930
249,562,440250,6212,440250
249,562,441250,6212,441250
250,564,442250,6212,442250
250,564,443250,6212,443250
251,566,444250,6212,444250
251,566,445250,6212,445250
252,568,446250,6212,446250
252,568,447250,6212,447250
253,570,448060,6212,448060
253,570,448430,6212,448430
254,572,449430,6212,449430
254,572,449660,6212,449660
254,572,450470,6212,450470
255,574,451280,6212,451280
255,574,451500,6212,451500
255,574,452500,6212,452500
256,576,452970,6212,452970
256,576,453970,6212,453970
257,578,454970,6212,454970
257,578,455970,6212,455970
258,580,456780,6212,456780
258,580,457590,6212,457590
259,582,458590,6212,458590
259,582,459590,6212,459590
260,584,460590,6212,460590
260,584,461590,6212,461590
261,586,462590,6212,462590
261,586,463590,6212,463590
262,588,464590,6212,464590
262,588,465590,6212,465590
262,588,465810,6212,465810
263,590,466810,6212,466810
263,590,467810,6212,467810
263,590,468040,6212,468040
264,592,469040,6212,469040
264,592,470040,6212,470040
265,594,471040,6212,471040
265,594,471500,6212,471500
266,596,473500,6212,473500
266,596,473970,6212,473970
266,596,473970,6212,473970
267,598,474780,6212,474780
267,598,475780,6212,475780
268,600,476100,6212,476100
268,600,476100,6212,476100
268,600,476750,6212,476750
268,600,477560,6212,477560
269,602,478560,6212,478560
269,602,479370,6212,479370
270,604,479840,6212,479840
270,604,480840,6212,480840
271,606,481840,6212,481840
271,606,482840,6212,482840
271,606,483070,6212,483070
272,608,484070,6212,484070
272,608,484230,6212,484230
272,608,485230,6212,485230
272,608,485460,6212,485460
273,610,486460,6212,486460
273,610,487460,6212,487460
274,612,487930,6212,487930
274,612,488930,6212,488930
274,612,489150,6212,489150
275,614,490150,6212,490150
275,614,491150,6212,491150
276,616,491800,6212,491800
276,616,492350,6212,492350
277,618,493350,6212,493350
277,618,494160,6212,494160
278,620,494620,6212,494620
278,620,494620,6212,494620
278,620,495090,6212,495090
278,620,496090,6212,496090
279,622,496560,6212,496560
279,622,497560,6212,497560
280,624,498560,6212,498560
280,624,499560,6212,499560
281,626,500560,6212,500560
281,626,500720,6212,500720
281,626,501720,6212,501720
281,626,502190,6212,502190
282,628,503190,6212,503190
282,628,503510,6212,503510
282,628,503980,6212,503980
283,630,504980,6212,504980
283,630,505980,6212,505980
284,632,506980,6212,506980
284,632,507980,6212,507980
285,634,508980,6212,508980
285,634,509980,6212,509980
286,636,510980,6212,510980
286,636,511790,6212,511790
286,636,512250,6212,512250
287,638,513250,6212,513250
287,638,513900,6212,513900
288,640,514710,6212,514710
288,640,515710,6212,515710
288,640,515870,6212,515870
289,642,516870,6212,516870
289,642,517870,6212,517870
290,644,518870,6212,518870
290,644,519870,6212,519870
291,646,520870,6212,520870
291,646,521870,6212,521870
292,648,522870,6212,522870
292,648,523870,6212,523870
292,648,523870,6212,523870
293,650,524680,6212,524680
293,650,525680,6212,525680
294,652,526680,6212,526680
294,652,527150,6212,527150
295,654,528150,6212,528150
295,654,529150,6212,529150
296,656,529960,6212,529960
296,656,530960,6212,530960
297,658,531960,6212,531960
297,658,532770,6212,532770
298,660,533770,6212,533770
298,660,534770,6212,534770
299,662,535770,6212,535770
299,662,536770,6212,536770
300,664,537770,6212,537770
300,664,538770,6212,538770
301,666,539420,6212,539420
301,666,539880,6212,539880
