ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
391381.71,6.61,1.43,177715.99,3.0
391752.42,6.61,1.44,177830.93,3.0
391889.25,6.62,1.44,177830.93,3.0
391837.53,6.62,1.44,177830.93,3.0
391785.8,6.62,1.44,177830.93,3.0
391734.08,6.62,1.44,177830.93,3.0
391870.9,6.62,1.45,177953.55,3.01
392241.62,6.63,1.45,178082.73,3.01
392378.45,6.63,1.46,178177.84,3.01
392515.27,6.63,1.46,178177.84,3.01
392137.12,6.63,1.45,177673.82,3.0
392085.39,6.63,1.45,177673.82,3.0
392033.67,6.63,1.45,177673.82,3.0
392184.35,6.63,1.46,177314.46,3.0
392321.17,6.63,1.46,177314.46,3.0
392458.0,6.64,1.46,177314.46,3.0
392911.37,6.65,1.47,177441.01,3.0
393290.06,6.65,1.48,177799.26,3.01
393660.78,6.66,1.49,177928.44,3.01
393246.99,6.66,1.49,177928.44,3.01
393609.14,6.67,1.5,177928.44,3.01
393557.42,6.67,1.5,177928.44,3.01
393694.24,6.67,1.5,178051.05,3.02
393642.52,6.67,1.5,178051.05,3.02
394162.74,6.68,1.51,178058.29,3.02
394533.46,6.69,1.51,178369.71,3.02
394904.18,6.69,1.52,178670.63,3.03
395041.0,6.7,1.52,178793.25,3.03
394989.28,6.7,1.53,178680.15,3.03
395360.0,6.7,1.53,178682.81,3.03
395308.27,6.7,1.53,178682.81,3.03
395256.55,6.7,1.53,178682.81,3.03
395204.83,6.71,1.53,178653.32,3.03
395153.1,6.71,1.53,178653.32,3.03
395101.38,6.71,1.53,178652.46,3.03
395238.2,6.71,1.54,178652.46,3.03
395375.03,6.71,1.54,178652.46,3.03
395745.75,6.72,1.55,178652.46,3.03
395694.02,6.72,1.55,178652.46,3.03
395694.02,6.72,1.55,178652.46,3.03
395642.3,6.72,1.55,178622.96,3.03
395228.51,6.72,1.55,178622.96,3.04
395176.78,6.72,1.55,178822.05,3.04
395547.5,6.73,1.56,178951.23,3.04
395495.78,6.73,1.56,178951.23,3.04
395632.6,6.73,1.56,178951.23,3.05
395580.88,6.73,1.56,178947.99,3.05
395951.6,6.74,1.57,178947.99,3.05
395899.87,6.74,1.57,178947.99,3.05
395848.15,6.74,1.57,178947.99,3.05
396015.76,6.74,1.57,180416.44,3.07
395964.03,6.74,1.57,180416.44,3.07
396782.97,6.76,1.59,180680.6,3.08
